Day,Time,Currency,Impact,Event,Actual,Forecast,Previous,SourceURL
20091020,8:30am,USD,3,PPI m/m,-0.6%,0.1%,1.7%,https://www.forexfactory.com/calendar?month=oct.2009
20091117,8:30am,USD,3,PPI m/m,0.3%,0.6%,-0.6%,https://www.forexfactory.com/calendar?month=nov.2009
20091118,7:30am,USD,3,CPI y/y,-0.2%,-0.3%,-1.3%,https://www.forexfactory.com/calendar?month=nov.2009
20091118,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=nov.2009
20091215,8:30am,USD,3,PPI m/m,1.8%,0.8%,0.3%,https://www.forexfactory.com/calendar?month=dec.2009
20091216,7:30am,USD,3,CPI y/y,1.8%,1.8%,-0.2%,https://www.forexfactory.com/calendar?month=dec.2009
20091216,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=dec.2009
20100115,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=jan.2010
20100115,8:30am,USD,3,CPI y/y,2.7%,2.8%,1.8%,https://www.forexfactory.com/calendar?month=jan.2010
20100120,8:30am,USD,3,PPI m/m,0.2%,0.1%,1.8%,https://www.forexfactory.com/calendar?month=jan.2010
20100218,8:30am,USD,3,PPI m/m,1.4%,0.8%,0.2%,https://www.forexfactory.com/calendar?month=feb.2010
20100219,8:30am,USD,3,Core CPI m/m,-0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=feb.2010
20100219,8:30am,USD,3,CPI y/y,2.6%,2.7%,2.7%,https://www.forexfactory.com/calendar?month=feb.2010
20100317,8:30am,USD,3,PPI m/m,-0.6%,-0.2%,1.4%,https://www.forexfactory.com/calendar?month=mar.2010
20100318,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,-0.1%,https://www.forexfactory.com/calendar?month=mar.2010
20100318,8:30am,USD,3,CPI y/y,2.1%,2.3%,2.6%,https://www.forexfactory.com/calendar?month=mar.2010
20100414,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=apr.2010
20100414,8:30am,USD,3,CPI y/y,2.3%,2.4%,2.1%,https://www.forexfactory.com/calendar?month=apr.2010
20100422,8:30am,USD,3,PPI m/m,0.7%,0.4%,-0.6%,https://www.forexfactory.com/calendar?month=apr.2010
20100518,8:30am,USD,3,PPI m/m,-0.1%,0.1%,0.7%,https://www.forexfactory.com/calendar?month=may.2010
20100519,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=may.2010
20100519,8:30am,USD,3,CPI m/m,-0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=may.2010
20100519,8:30am,USD,3,CPI y/y,2.2%,2.4%,2.3%,https://www.forexfactory.com/calendar?month=may.2010
20100616,8:30am,USD,3,PPI m/m,-0.3%,-0.5%,-0.1%,https://www.forexfactory.com/calendar?month=jun.2010
20100617,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=jun.2010
20100617,8:30am,USD,3,CPI y/y,2.0%,2.0%,2.2%,https://www.forexfactory.com/calendar?month=jun.2010
20100715,8:30am,USD,3,PPI m/m,-0.5%,-0.2%,-0.3%,https://www.forexfactory.com/calendar?month=jul.2010
20100716,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=jul.2010
20100716,8:30am,USD,3,CPI y/y,1.1%,1.2%,2.0%,https://www.forexfactory.com/calendar?month=jul.2010
20100813,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=aug.2010
20100813,8:30am,USD,3,CPI y/y,1.2%,1.2%,1.1%,https://www.forexfactory.com/calendar?month=aug.2010
20100817,8:30am,USD,3,PPI m/m,0.2%,0.2%,-0.5%,https://www.forexfactory.com/calendar?month=aug.2010
