trade_date,code,name,fin_balance,fin_buy,fin_repay,sec_volume,sec_sell,sec_repay,exchange,sec_balance,margin_balance
20260420,560090,证券指数,123979218,6336620,5483349.0,0,0,0.0,SSE,,
20260420,560120,500现金,267153,287862,20709.0,0,0,0.0,SSE,,
20260420,560210,景顺农牧,39591,39591,0.0,0,0,0.0,SSE,,
20260420,560260,医疗50,7202921,175510,151911.0,0,0,0.0,SSE,,
20260420,560280,工程机械,19373142,5434147,6532607.0,0,0,0.0,SSE,,
20260420,560350,A50指数,11471007,774161,838524.0,0,0,0.0,SSE,,
20260420,560390,电网E,3938697,4096868,158171.0,0,0,0.0,SSE,,
20260420,560510,中证A500,4213811,1324499,397673.0,0,0,0.0,SSE,,
20260420,560530,A500ETF,7567272,939020,863667.0,0,0,0.0,SSE,,
20260420,560610,A500指数,9259693,317926,930193.0,0,0,0.0,SSE,,
20260420,560710,船舶ETF,2953569,3361883,408314.0,0,0,0.0,SSE,,
20260420,560770,机器人ZS,13273513,1080312,827483.0,0,0,0.0,SSE,,
20260420,560780,半导设备,54431926,10302419,10532354.0,0,0,0.0,SSE,,
20260420,560860,工业有色,132729637,20633159,15139765.0,0,0,0.0,SSE,,
20260420,560980,光伏龙头,30275,610230,579955.0,0,0,0.0,SSE,,
20260420,561100,电子龙头,2461833,1067983,951742.0,0,0,0.0,SSE,,
20260420,561160,锂电池,23341224,1438122,4141686.0,0,0,0.0,SSE,,
20260420,561230,A50,967430,475467,475597.0,0,0,0.0,SSE,,
20260420,561300,300增ETF,2986363,539146,393512.0,0,0,0.0,SSE,,
20260420,561330,矿业ETF,40729472,6476909,2629291.0,0,0,0.0,SSE,,
20260420,561360,石油ETF,4211370,6729222,2517852.0,0,0,0.0,SSE,,
20260420,561380,电网ETF,80025563,11782661,15711280.0,0,0,0.0,SSE,,
20260420,561550,500指增,43946436,2353012,1435965.0,0,0,0.0,SSE,,
20260420,561560,电力ETF,10866234,3539808,2370526.0,0,0,0.0,SSE,,
20260420,561580,XD央企红,14067056,5262960,3924030.0,0,0,0.0,SSE,,
20260420,561760,油气博时,71120,327168,256048.0,0,0,0.0,SSE,,
20260420,561910,电池ETF,61448286,4079547,4779689.0,0,0,0.0,SSE,,
20260420,561980,芯片设备,95958767,8151270,9289655.0,0,0,0.0,SSE,,
20260420,562060,标普红利,8878460,642019,488781.0,0,0,0.0,SSE,,
20260420,562080,自由现金,198172,642172,444000.0,0,0,0.0,SSE,,
20260420,562310,300成长,12110893,1063002,489287.0,0,0,0.0,SSE,,
20260420,562500,机器人,844138142,43408228,46358628.0,13534300,0,0.0,SSE,,
20260420,562510,旅游ETF,15017782,2731544,5178518.0,0,0,0.0,SSE,,
20260420,562550,绿电ETF,2295067,4095536,1800469.0,0,0,0.0,SSE,,
20260420,562570,信创ETF,792815,518148,243555.0,0,0,0.0,SSE,,
20260420,562590,半导材料,24288274,7364156,3242484.0,0,0,0.0,SSE,,
20260420,562800,稀有金属,118576828,33632407,40914936.0,0,0,0.0,SSE,,
20260420,562880,电池基金,2954302,308713,176249.0,0,0,0.0,SSE,,
20260420,562930,软件30,165634,1115818,950184.0,0,0,0.0,SSE,,
20260420,562950,消电50,2073829,908850,910680.0,0,0,0.0,SSE,,
20260420,562960,绿色电力,283156,723245,440089.0,0,0,0.0,SSE,,
20260420,562970,光伏E,3467312,802110,798396.0,0,0,0.0,SSE,,
20260420,563000,中国A50,3373069,487744,349310.0,0,0,0.0,SSE,,
20260420,563020,低波红利,99706125,14437084,8627815.0,0,0,0.0,SSE,,
20260420,563080,中证A50E,3552725,809240,778590.0,0,0,0.0,SSE,,
20260420,563220,A500富国,5259287,105408,175514.0,12404900,0,0.0,SSE,,
20260420,563230,卫星ETF,235489257,63021548,55830904.0,0,0,0.0,SSE,,
20260420,563300,中证2000,130674102,26139682,30681802.0,61816600,0,0.0,SSE,,
20260420,563360,A500基金,78772461,23036607,27088262.0,5000000,0,0.0,SSE,,
20260420,563380,航空航天,548398,548398,0.0,0,0,0.0,SSE,,
20260420,563390,现金基金,2636564,616435,1030675.0,0,0,0.0,SSE,,
20260420,563530,卫星E,10867937,11538067,670130.0,0,0,0.0,SSE,,
20260420,563580,现金800,5715928,144437,130300.0,0,0,0.0,SSE,,
20260420,563790,卫星产业,2459881,2532719,72838.0,0,0,0.0,SSE,,
20260420,563800,A500龙头,25092047,426570,21212542.0,0,0,0.0,SSE,,
20260420,563880,A500添富,456279,111005,112558.0,0,0,0.0,SSE,,
20260420,563990,800现金,0,399628,399628.0,0,0,0.0,SSE,,
20260420,588000,科创50,2067334045,285704726,377648132.0,55819084,2553200,1822300.0,SSE,,
20260420,588020,科创50E,19839713,21403427,20451359.0,0,0,0.0,SSE,,
20260420,588030,科创指基,86120475,4552479,8456274.0,0,0,0.0,SSE,,
20260420,588050,科创ETF,103830267,7646567,10287499.0,0,0,0.0,SSE,,
20260420,588060,上证科创,93152238,5404649,10675836.0,0,0,0.0,SSE,,
20260420,588080,科创板50,411736610,34671903,70475636.0,5744100,0,0.0,SSE,,
20260420,588090,科创板,54802064,5273452,3988072.0,0,0,0.0,SSE,,
20260420,588120,科100ETF,18982315,6518833,2405262.0,3465000,0,410000.0,SSE,,
20260420,588170,科创半导,160925356,27664004,25176209.0,0,0,0.0,SSE,,
20260420,588180,科创50基,14735243,1179534,1269843.0,0,0,0.0,SSE,,
20260420,588190,科创100,44507161,1256398,2137151.0,0,0,0.0,SSE,,
20260420,588200,科创芯片,1408980033,103919207,103239766.0,7808900,350000,0.0,SSE,,
20260420,588220,科创100F,127626366,21953996,23654526.0,1870600,0,0.0,SSE,,
20260420,588230,科创200,79237715,19688282,11982841.0,0,0,0.0,SSE,,
20260420,588290,芯片科创,68829223,8393019,5506923.0,0,0,0.0,SSE,,
20260420,588300,双创ETF,19031524,1565030,1457777.0,0,0,0.0,SSE,,
20260420,588330,双创龙头,12989911,1496726,2108318.0,958600,8300,40800.0,SSE,,
20260420,588380,创50ETF,29668312,2760659,3031103.0,0,0,0.0,SSE,,
20260420,588400,双创50,5023445,2016590,1172033.0,0,0,0.0,SSE,,
20260420,588460,科创增强,42314639,3757515,1744917.0,0,0,0.0,SSE,,
20260420,588710,科半导体,50641770,8893441,11335834.0,0,0,0.0,SSE,,
20260420,588730,科创AI,41856202,2803629,2513602.0,0,0,0.0,SSE,,
20260420,588750,科创芯50,47674267,1139069,1708565.0,0,0,0.0,SSE,,
20260420,588760,AI科创,86754801,4128447,7417216.0,0,0,0.0,SSE,,
20260420,588780,芯片设计,40274611,7523132,5589708.0,0,0,0.0,SSE,,
20260420,588790,科创智能,197315413,8393127,9220288.0,0,0,0.0,SSE,,
20260420,588800,科创100C,33261417,3418533,5841230.0,0,0,0.0,SSE,,
20260420,588810,科创板芯,3493279,280537,441351.0,0,0,0.0,SSE,,
20260420,588830,科创新能,31954335,3074257,4683886.0,0,0,0.0,SSE,,
20260420,588890,科创芯,11391213,1851251,2199320.0,0,0,0.0,SSE,,
20260420,588930,科创板AI,37724379,2161458,1794103.0,670000,0,0.0,SSE,,
20260420,588940,科创富国,564866,675927,111061.0,0,0,0.0,SSE,,
20260420,589000,科创综指,13433762,1902833,2563076.0,0,0,0.0,SSE,,
20260420,589010,科创AI指,9861111,3047851,1613479.0,0,0,0.0,SSE,,
20260420,589020,KC半导体,407720,1038563,630843.0,0,0,0.0,SSE,,
20260420,589070,科芯TH,84275,196709,112434.0,0,0,0.0,SSE,,
20260420,589100,国泰芯片,1352460,186104,593441.0,0,0,0.0,SSE,,
20260420,589110,科AI国泰,81728,81728,0.0,0,0,0.0,SSE,,
20260420,589130,科创芯易,1320100,1397361,77261.0,0,0,0.0,SSE,,
20260420,589190,科创芯基,493126,643068,149942.0,0,0,0.0,SSE,,
20260420,589520,AI科创板,14236793,1425772,1726165.0,0,0,0.0,SSE,,
20260420,589680,科创综Z,6918533,1999467,3303489.0,0,0,0.0,SSE,,
20260420,589720,科创新药,84474302,19355613,15519115.0,0,0,0.0,SSE,,
20260420,589800,科创综合,19583677,3099337,4212741.0,6050200,0,0.0,SSE,,
20260420,589850,科创东财,5946671,2229006,1966275.0,0,0,0.0,SSE,,
20260420,600000,浦发银行,3340675064,60265739,23877480.0,455400,26200,6400.0,SSE,,
20260420,600004,白云机场,394883320,5559243,6212167.0,221100,5500,1300.0,SSE,,
20260420,600006,东风股份,342340027,3890420,4616187.0,500000,2900,11900.0,SSE,,
20260420,600007,中国国贸,164066567,1249738,8835705.0,157734,4900,700.0,SSE,,
20260420,600008,首创环保,563778298,26645402,70887778.0,665900,82000,10000.0,SSE,,
20260420,600009,上海机场,1704253609,13917273,15363737.0,229600,700,6400.0,SSE,,
20260420,600010,包钢股份,2862535918,399472100,452972832.0,24301300,2829500,747600.0,SSE,,
20260420,600011,华能国际,977516597,86853078,38591309.0,1040000,1100,14500.0,SSE,,
20260420,600012,皖通高速,18262465,4573751,3413363.0,51500,6400,30300.0,SSE,,
20260420,600015,华夏银行,1551798780,18322313,26224142.0,143900,18200,300.0,SSE,,
20260420,600016,民生银行,8099101140,156634019,75101869.0,2026220,488400,46100.0,SSE,,
20260420,600017,日照港,359663346,6342731,8851060.0,863500,1400,2100.0,SSE,,
20260420,600018,上港集团,857746056,48430630,12496157.0,246100,14300,22300.0,SSE,,
20260420,600019,宝钢股份,1584493594,61641891,42857131.0,1625028,11500,14800.0,SSE,,
20260420,600020,中原高速,201659376,3650572,3066910.0,258300,78400,200.0,SSE,,
20260420,600021,上海电力,1300085052,42103483,82552671.0,668000,8400,31200.0,SSE,,
20260420,600022,山东钢铁,322458580,7401361,6722794.0,1606050,5100,3200.0,SSE,,
20260420,600023,浙能电力,314285283,21554307,28083612.0,2149500,11500,20200.0,SSE,,
20260420,600025,华能水电,1829405162,29605598,25929424.0,85500,700,600.0,SSE,,
20260420,600026,中远海能,1623691622,169430835,110269783.0,357500,1300,600.0,SSE,,
20260420,600027,华电国际,990182637,14482750,34558539.0,1867500,11900,17300.0,SSE,,
20260420,600028,中国石化,1987706710,99861371,65853062.0,2482100,175100,194900.0,SSE,,
20260420,600029,南方航空,630968430,88942068,64213652.0,484200,170000,23000.0,SSE,,
20260420,600030,中信证券,19402663788,320282204,388758672.0,976800,163200,187800.0,SSE,,
20260420,600031,三一重工,1857595363,117052032,55282586.0,362400,41800,35100.0,SSE,,
20260420,600032,浙江新能,195645566,55943800,51403496.0,303800,19700,22300.0,SSE,,
20260420,600033,福建高速,357700309,9451711,43663606.0,72000,30000,11300.0,SSE,,
20260420,600035,楚天高速,104492886,3831956,1964966.0,93900,3900,0.0,SSE,,
20260420,600036,招商银行,11391688036,214213181,149004894.0,744552,48800,22000.0,SSE,,
20260420,600037,歌华有线,513626867,17567925,8589282.0,135800,1200,0.0,SSE,,
20260420,600038,中直股份,1198675386,16509625,20843203.0,274000,600,1700.0,SSE,,
20260420,600039,四川路桥,124910416,5424593,6165033.0,124100,35700,0.0,SSE,,
20260420,600048,保利发展,3134509660,91983984,111080253.0,1532600,121400,145300.0,SSE,,
20260420,600050,中国联通,3282777575,100147668,59589820.0,2696300,254400,380600.0,SSE,,
20260420,600053,九鼎投资,93927642,3181434,2832167.0,0,0,0.0,SSE,,
20260420,600055,万东医疗,474111083,13408744,7568076.0,207900,800,600.0,SSE,,
20260420,600056,中国医药,535688252,19987596,29142612.0,426200,24500,700.0,SSE,,
20260420,600057,厦门象屿,127033137,6013393,5614765.0,70900,9100,1800.0,SSE,,
20260420,600058,五矿发展,377308383,11339649,11387723.0,220500,3400,100.0,SSE,,
20260420,600059,古越龙山,447337012,5521331,6395930.0,59500,4600,2000.0,SSE,,
20260420,600060,海信视像,290865837,11256139,8499081.0,61800,5300,1500.0,SSE,,
20260420,600061,国投资本,1533721430,41122123,24385082.0,50300,4500,1700.0,SSE,,
20260420,600062,华润双鹤,555317517,36434460,17277607.0,237244,0,500.0,SSE,,
20260420,600063,皖维高新,657594437,29034506,23293897.0,212100,19900,17700.0,SSE,,
20260420,600064,南京高科,406252302,16902038,14929666.0,67700,0,4400.0,SSE,,
20260420,600066,宇通客车,218645533,24709032,24123029.0,444600,13600,20600.0,SSE,,
20260420,600067,冠城新材,208822716,7450816,7332129.0,3900,0,7700.0,SSE,,
20260420,600071,凤凰光学,230601783,10834032,15274185.0,14000,8400,0.0,SSE,,
20260420,600072,中船科技,603205886,70148204,69500929.0,295436,143400,5300.0,SSE,,
20260420,600073,光明肉业,393599911,3118825,5531993.0,200700,500,1000.0,SSE,,
20260420,600075,新疆天业,156104680,7020460,10053228.0,466500,18800,13800.0,SSE,,
20260420,600076,康欣新材,217780543,4036222,5503036.0,0,0,0.0,SSE,,
20260420,600081,东风科技,120494699,1828442,9021643.0,32100,200,0.0,SSE,,
20260420,600085,同仁堂,1202783422,11074589,12988971.0,152086,400,200.0,SSE,,
20260420,600088,中视传媒,370486105,6240421,5290127.0,89800,0,0.0,SSE,,
20260420,600089,特变电工,7266441974,732311908,670368030.0,1174335,100700,26500.0,SSE,,
20260420,600094,大名城,767310634,6046128,6911777.0,679600,100,13300.0,SSE,,
20260420,600095,湘财股份,751691363,35571613,25785146.0,468500,3600,77500.0,SSE,,
20260420,600096,云天化,2787005744,152403746,170065848.0,1044800,15400,2400.0,SSE,,
