Date,Symbol,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,MA20,MA60,52W_High,52W_Low,Position_52W
2018-10-11,XQQ.TO,20.1602783203125,20.37925910949707,19.77882957458496,20.011938095092773,19.496538162231445,226788,0.0,0.0,21.51866102218628,21.41764758427938,22.00748062133789,17.479541778564453,0.5592823588088008
2018-10-12,XQQ.TO,20.50994110107422,20.608835220336914,20.17793846130371,20.608835220336914,20.07806396484375,178939,0.0,0.0,21.462679862976074,21.40628652572632,22.00748062133789,17.479541778564453,0.6911077093646691
2018-10-15,XQQ.TO,20.534664154052734,20.534664154052734,20.259172439575195,20.30862045288086,19.785581588745117,241228,0.0,0.0,21.393453979492186,21.39062827428182,22.00748062133789,17.479541778564453,0.6248049659132651
2018-10-16,XQQ.TO,20.43223762512207,20.940837860107422,20.43223762512207,20.916112899780273,20.37742805480957,199041,0.0,0.0,21.37155599594116,21.38668425877889,22.00748062133789,17.479541778564453,0.7589703042700249
2018-10-17,XQQ.TO,20.97968864440918,20.97968864440918,20.72538948059082,20.90198516845703,20.363666534423828,428094,0.0,0.0,21.33941535949707,21.38268140157064,22.00748062133789,17.479541778564453,0.7558501801221933
2018-10-18,XQQ.TO,20.863134384155273,20.863134384155273,20.347471237182617,20.418109893798828,19.892248153686523,144680,0.0,0.0,21.283610820770264,21.369848696390786,22.00748062133789,17.479541778564453,0.6489858227489781
2018-10-19,XQQ.TO,20.573514938354492,20.718324661254883,20.35806655883789,20.41104507446289,19.88536834716797,124011,0.0,0.0,21.21650400161743,21.355367755889894,22.00748062133789,17.479541778564453,0.6474255500550982
2018-10-22,XQQ.TO,20.584110260009766,20.619430541992188,20.347471237182617,20.499345779418945,19.971393585205078,231035,0.0,0.0,21.160169696807863,21.33788471221924,22.00748062133789,17.479541778564453,0.666926852528956
2018-10-23,XQQ.TO,20.114364624023438,20.50994110107422,19.920108795166016,20.418109893798828,19.892248153686523,590611,0.0,0.0,21.09571189880371,21.323639233907063,22.00748062133789,17.479541778564453,0.6489858227489781
2018-10-24,XQQ.TO,20.418109893798828,20.421642303466797,19.45742416381836,19.489212036132812,18.987279891967773,780026,0.0,0.0,20.98304319381714,21.298739115397137,22.00748062133789,17.479541778564453,0.44383776533903074
2018-10-25,XQQ.TO,19.722318649291992,20.25564193725586,19.718786239624023,20.18500328063965,19.665145874023438,317390,0.0,0.0,20.905693817138673,21.290851147969565,22.00748062133789,17.479541778564453,0.5975039849297203
2018-10-26,XQQ.TO,19.425636291503906,19.987213134765625,19.32674217224121,19.641084671020508,19.13524055480957,256234,0.0,0.0,20.790552711486818,21.27201417287191,22.00748062133789,17.479541778564453,0.4773789946182387
2018-10-29,XQQ.TO,19.930702209472656,19.976619720458984,18.84286880493164,19.234912872314453,18.739526748657227,982181,0.0,0.0,20.656515884399415,21.244347381591798,22.00748062133789,17.9775447845459,0.31200697447567194
2018-10-30,XQQ.TO,19.114826202392578,19.538658142089844,19.030059814453125,19.5245304107666,19.021684646606445,475094,0.0,0.0,20.534487533569337,21.216739432017008,22.00748062133789,17.9775447845459,0.38387351284783044
2018-10-31,XQQ.TO,19.877723693847656,20.153215408325195,19.867128372192383,20.0013427734375,19.486217498779297,391287,0.0,0.0,20.43824234008789,21.196195348103842,22.00748062133789,18.058778762817383,0.4919500332567406
2018-11-01,XQQ.TO,20.068449020385742,20.259172439575195,19.955427169799805,20.259172439575195,19.73740577697754,71915,0.0,0.0,20.354182243347168,21.17629877726237,22.00748062133789,18.058778762817383,0.5572448251593884
2018-11-02,XQQ.TO,20.241514205932617,20.29096031188965,19.80355453491211,19.937767028808594,19.424280166625977,312860,0.0,0.0,20.274360561370848,21.150339063008627,22.00748062133789,18.058778762817383,0.4758496167384049
2018-11-05,XQQ.TO,20.01900291442871,20.01900291442871,19.665807723999023,19.881256103515625,19.36922264099121,159686,0.0,0.0,20.204958057403566,21.123731803894042,22.00748062133789,18.140012741088867,0.4502282672647925
2018-11-06,XQQ.TO,19.930702209472656,20.12849235534668,19.895383834838867,20.01900291442871,19.5034236907959,117499,0.0,0.0,20.146857833862306,21.102128156026204,22.00748062133789,18.140012741088867,0.48584506233025443
2018-11-07,XQQ.TO,20.276832580566406,20.644153594970703,20.227386474609375,20.640621185302734,20.109027862548828,234149,0.0,0.0,20.165400409698485,21.09141461054484,22.00748062133789,18.140012741088867,0.6465751033083835
2018-11-08,XQQ.TO,20.584110260009766,20.608835220336914,20.44989776611328,20.50994110107422,19.981714248657227,102777,0.0,0.0,20.19030055999756,21.07646277745565,22.00748062133789,18.140012741088867,0.6127855313520415
2018-11-09,XQQ.TO,20.37925910949707,20.40045166015625,20.05078887939453,20.206193923950195,19.685791015625,259914,0.0,0.0,20.170168495178224,21.06103998819987,22.00748062133789,18.140012741088867,0.5342465010280287
2018-11-12,XQQ.TO,20.0543212890625,20.0543212890625,19.566913604736328,19.58104133605957,19.076738357543945,281998,0.0,0.0,20.133789539337158,21.034491602579752,22.00748062133789,18.140012741088867,0.37260260190652605
2018-11-13,XQQ.TO,19.72585105895996,19.90951156616211,19.54925537109375,19.612829208374023,19.107707977294922,679231,0.0,0.0,20.068625354766844,21.007707786560058,22.00748062133789,18.140012741088867,0.3808219002429886
2018-11-14,XQQ.TO,19.8388729095459,19.8388729095459,19.358530044555664,19.425636291503906,18.925338745117188,156288,0.0,0.0,19.99480791091919,20.97798064549764,22.00748062133789,18.140012741088867,0.33241996836758697
2018-11-15,XQQ.TO,19.43976593017578,19.83180809020996,19.249040603637695,19.718786239624023,19.210941314697266,263595,0.0,0.0,19.95984172821045,20.951903184254963,22.00748062133789,18.140012741088867,0.4082189037943607
2018-11-16,XQQ.TO,19.588106155395508,19.7858943939209,19.53159523010254,19.708192825317383,19.200618743896484,297288,0.0,0.0,19.924699115753175,20.92476619084676,22.00748062133789,18.140012741088867,0.40547979525237626
2018-11-19,XQQ.TO,19.651681900024414,19.651681900024414,19.00180435180664,19.044187545776367,18.553709030151367,306631,0.0,0.0,19.851941204071046,20.886974493662517,22.00748062133789,18.140012741088867,0.23378986786291833
2018-11-20,XQQ.TO,18.542652130126953,18.94882583618164,18.489673614501953,18.719249725341797,18.237138748168945,206969,0.0,0.0,19.766998195648192,20.840176359812418,22.00748062133789,18.140012741088867,0.14977163409968205
2018-11-21,XQQ.TO,18.973548889160156,19.01946449279785,18.87465476989746,18.885250091552734,18.39887046813965,159403,0.0,0.0,19.736800098419188,20.7931427637736,22.00748062133789,18.140012741088867,0.19269386935823288
